Name used in JSS,Short name,Description,Synonyms,Source Type,Map Type,ICD-10 ID,ICD-10 Name,Parent Category
Bacteremia (not septicemia),,,,ICD 10 - WHO,SAME-AS,R78.81,Bacteremia,Infectious and Parasitic Diseases
"Chickenpox, NOS",,,,ICD 10 - WHO,SAME-AS,B01.9,Varicella without complication,Infectious and Parasitic Diseases
Condyloma acuminata,,,,ICD 10 - WHO,SAME-AS,A63.0,Anogenital (venereal) warts,Infectious and Parasitic Diseases
"Dermatomycosis, unspec.",,,,ICD 10 - WHO,SAME-AS,B36.9,"Superficial mycosis, unspecified",Infectious and Parasitic Diseases
"Exanthems, viral, unspec.",,,,ICD 10 - WHO,SAME-AS,B09,Unspecified viral infection characterized by skin and mucous membrane lesions,Infectious and Parasitic Diseases
Giardiasis,,,,ICD 10 - WHO,SAME-AS,A07.1,Giardiasis [lambliasis],Infectious and Parasitic Diseases
"Gonorrhea, acute, lower GU tract",,,,ICD 10 - WHO,SAME-AS,A54.00,"Gonococcal infection of lower genitourinary tract, unspecified",Infectious and Parasitic Diseases
"Hepatitis, viral, NOS",,,,ICD 10 - WHO,SAME-AS,B19.9,Unspecified viral hepatitis without hepatic coma,Infectious and Parasitic Diseases
"Herpes zoster, NOS",,,,ICD 10 - WHO,SAME-AS,B02.9,Zoster without complications,Infectious and Parasitic Diseases
"Herpetic disease, uncomplicated",,,,ICD 10 - WHO,SAME-AS,B00.9,"Herpesviral infection, unspecified",Infectious and Parasitic Diseases
HIV disease,,,,ICD 10 - WHO,SAME-AS,B20,"Herpesviral infection, unspecified",Infectious and Parasitic Diseases
"HIV positive, asymptomatic",,,,ICD 10 - WHO,SAME-AS,Z21,Human immunodeficiency virus [HIV] disease,Infectious and Parasitic Diseases
Infectious mononucleosis,,,,ICD 10 - WHO,SAME-AS,B27.90,"Infectious mononucleosis, unspecified without complication",Infectious and Parasitic Diseases
"Intestinal protozoa, NOS",,,,ICD 10 - WHO,SAME-AS,A07.9,"Protozoal intestinal disease, unspecified",Infectious and Parasitic Diseases
Lyme disease,,,,ICD 10 - WHO,SAME-AS,A69.20,"Lyme disease, unspecified",Infectious and Parasitic Diseases
"Moniliasis, skin/nails",,,,ICD 10 - WHO,SAME-AS,B37.2,Candidiasis of skin and nail,Infectious and Parasitic Diseases
"Moniliasis, vulva/vagina",,,,ICD 10 - WHO,SAME-AS,B37.3,Candidiasis of vulva and vagina,Infectious and Parasitic Diseases
"Pediculosis, head",,,,ICD 10 - WHO,SAME-AS,B85.0,Pediculosis due to Pediculus humanus capitis,Infectious and Parasitic Diseases
"Pediculosis, unspec.",,,,ICD 10 - WHO,SAME-AS,B85.2,"Pediculosis, unspecified",Infectious and Parasitic Diseases
Pinworms,,,,ICD 10 - WHO,SAME-AS,B80,Enterobiasis,Infectious and Parasitic Diseases
Salmonella gastroenteritis,,,,ICD 10 - WHO,SAME-AS,A02.0,Salmonella enteritis,Infectious and Parasitic Diseases
Scabies,,,,ICD 10 - WHO,SAME-AS,B86,Scabies,Infectious and Parasitic Diseases
Sepsis,,,,ICD 10 - WHO,SAME-AS,A41.9,"Sepsis, unspecified organism",Infectious and Parasitic Diseases
"Septicemia, NOS",,,,ICD 10 - WHO,SAME-AS,A41.9,"Sepsis, unspecified organism",Infectious and Parasitic Diseases
Staphylococcal food poisoning,,,,ICD 10 - WHO,SAME-AS,A05.0,Foodborne staphylococcal intoxication,Infectious and Parasitic Diseases
